Algorithm,Frequency,Amplitude,Phase,Fx,Fy,Fz,Rate,K,CompressionRatio,X,Y,Z,MeanCompressTime,MeanDecompressTime,MeanMSE,MeanOriginalSize,MeanCompressedSize
ZFP,1,0.1,0,0.1,0.1,0.1,1,1,0.1,3,7,7,5.755e-06,3.3e-06,0.000548238,1176,76
ZFP,1,0.1,0,0.1,0.1,0.1,2,1,0.1,3,7,7,2.065e-06,1.12e-06,0.000127847,1176,108
ZFP,1,0.1,0,0.1,0.1,0.1,3,1,0.1,3,7,7,2.28e-06,1.185e-06,2.94294e-05,1176,140
ZFP,1,0.1,0,0.1,0.1,0.1,4,1,0.1,3,7,7,2.4e-06,1.575e-06,1.57179e-05,1176,172
ZFP,1,0.1,0,0.1,0.1,0.1,5,1,0.1,3,7,7,2.54e-06,1.46e-06,2.59501e-06,1176,204
ZFP,1,0.1,0,0.1,0.1,0.1,6,1,0.1,3,7,7,5.085e-06,1.575e-06,7.83614e-07,1176,236
ZFP,1,0.1,0,0.1,0.1,0.1,7,1,0.1,3,7,7,2.875e-06,1.68e-06,2.50186e-07,1176,268
ZFP,1,0.1,0,0.1,0.1,0.1,8,1,0.1,3,7,7,3.015e-06,1.785e-06,6.27972e-08,1176,300
ZFP,1,0.1,0,0.1,0.1,0.1,9,1,0.1,3,7,7,3.23e-06,2e-06,2.07195e-08,1176,332
ZFP,1,0.1,0,0.1,0.1,0.1,10,1,0.1,3,7,7,3.325e-06,1.97e-06,5.45445e-09,1176,364
ZFP,1,0.1,0,0.1,0.1,0.1,11,1,0.1,3,7,7,3.345e-06,2e-06,1.33794e-09,1176,396
ZFP,1,0.1,0,0.1,0.1,0.1,12,1,0.1,3,7,7,3.48e-06,2.115e-06,3.14368e-10,1176,428
ZFP,1,0.1,0,0.1,0.1,0.1,13,1,0.1,3,7,7,4.205e-06,2.675e-06,8.0789e-11,1176,460
ZFP,1,0.1,0,0.1,0.1,0.1,14,1,0.1,3,7,7,3.765e-06,2.495e-06,1.89168e-11,1176,492
ZFP,1,0.1,0,0.1,0.1,0.1,15,1,0.1,3,7,7,3.875e-06,2.54e-06,4.89603e-12,1176,524
ZFP,1,0.1,0,0.1,0.1,0.1,16,1,0.1,3,7,7,4.135e-06,2.77e-06,1.16578e-12,1176,556
ZFP,1,0.1,0,0.1,0.1,0.1,17,1,0.1,3,7,7,4.215e-06,2.885e-06,3.10095e-13,1176,588
ZFP,1,0.1,0,0.1,0.1,0.1,18,1,0.1,3,7,7,4.34e-06,2.92e-06,8.86189e-14,1176,620
ZFP,1,0.1,0,0.1,0.1,0.1,19,1,0.1,3,7,7,4.46e-06,3.06e-06,1.99443e-14,1176,652
ZFP,1,0.1,0,0.1,0.1,0.1,20,1,0.1,3,7,7,4.525e-06,3.18e-06,5.19837e-15,1176,684
ZFP,1,0.1,0,0.1,0.1,0.1,21,1,0.1,3,7,7,4.805e-06,3.355e-06,1.37129e-15,1176,716
ZFP,1,0.1,0,0.1,0.1,0.1,22,1,0.1,3,7,7,5.005e-06,3.47e-06,3.5949e-16,1176,748
ZFP,1,0.1,0,0.1,0.1,0.1,23,1,0.1,3,7,7,5.045e-06,3.64e-06,8.10063e-17,1176,780
ZFP,1,0.1,0,0.1,0.1,0.1,24,1,0.1,3,7,7,5.12e-06,3.755e-06,2.11027e-17,1176,812
ZFP,1,0.1,0,0.1,0.1,0.1,25,1,0.1,3,7,7,5.195e-06,3.76e-06,4.7607e-18,1176,844
ZFP,1,0.1,0,0.1,0.1,0.1,26,1,0.1,3,7,7,5.49e-06,3.955e-06,1.47394e-18,1176,876
