Algorithm Name,X,Y,Z,Frequency,Amplitude,Phase,Fx,Fy,Fz,Rate,K,Compression Ratio,Mean Compress Time,Mean Decompress Time,Mean MSE,Original Size,Mean Compressed Size,Max Error,Max Error Original Value,Max Error Decompressed Value
ZFP,11,7,7,1,0.1,0,0.1,0.1,0.1,1,1,0.1,5.94e-06,4.06e-06,0.00026439147696174,4312,140,0.0774019860061435,0.0891207360061435,0.01171875
ZFP,11,7,7,1,0.1,0,0.1,0.1,0.1,2,1,0.1,1.021e-05,9.175e-06,7.29401267212275e-05,4312,236,0.0422727777872517,0.0783326909627483,0.12060546875
ZFP,11,7,7,1,0.1,0,0.1,0.1,0.1,3,1,0.1,8.645e-06,6.94e-06,2.88949941250944e-05,4312,332,0.0480159747917193,0.0963558185417193,0.04833984375
ZFP,11,7,7,1,0.1,0,0.1,0.1,0.1,4,1,0.1,1.4535e-05,8.74e-06,7.55834560444154e-06,4312,428,0.0123807288376065,0.0891207360061435,0.10150146484375
ZFP,11,7,7,1,0.1,0,0.1,0.1,0.1,5,1,0.1,1.735e-05,8.6e-06,2.40113851573312e-06,4312,524,0.00993003729171932,0.0963558185417193,0.08642578125
ZFP,11,7,7,1,0.1,0,0.1,0.1,0.1,6,1,0.1,1.1465e-05,7.96e-06,5.62765775207867e-07,4312,620,0.00384101983718693,0.0963558185417193,0.100196838378906
ZFP,11,7,7,1,0.1,0,0.1,0.1,0.1,7,1,0.1,1.035e-05,8.37e-06,1.62812082386466e-07,4312,716,0.00255241278000057,0.0963558185417193,0.0938034057617188
ZFP,11,7,7,1,0.1,0,0.1,0.1,0.1,8,1,0.1,1.6295e-05,1.1475e-05,3.75193922187423e-08,4312,812,0.00141296502761662,0.0963558185417193,0.0977687835693359
ZFP,11,7,7,1,0.1,0,0.1,0.1,0.1,9,1,0.1,1.5975e-05,1.4025e-05,9.274146394371e-09,4312,908,0.000430487425996662,0.0963558185417193,0.0959253311157227
ZFP,11,7,7,1,0.1,0,0.1,0.1,0.1,10,1,0.1,1.6195e-05,1.059e-05,2.37084788842434e-09,4312,1004,0.000219918457792401,0.0963558185417193,0.0965757369995117
ZFP,11,7,7,1,0.1,0,0.1,0.1,0.1,11,1,0.1,1.9125e-05,1.3345e-05,6.16059099265999e-10,4312,1100,0.000169895919038654,0.0963558185417193,0.0961859226226807
ZFP,11,7,7,1,0.1,0,0.1,0.1,0.1,12,1,0.1,2.122e-05,1.3695e-05,1.596478934108e-10,4312,1196,5.88791091692097e-05,0.0198669330795061,0.0198080539703369
ZFP,11,7,7,1,0.1,0,0.1,0.1,0.1,13,1,0.1,1.675e-05,1.2675e-05,4.01270406904308e-11,4312,1292,3.2268794252277e-05,0.0963558185417193,0.096323549747467
ZFP,11,7,7,1,0.1,0,0.1,0.1,0.1,14,1,0.1,1.328e-05,1.067e-05,8.85967183396487e-12,4312,1388,1.44736488115436e-05,0.0198669330795061,0.0198524594306946
