Algorithm Name,X,Y,Z,Frequency,Amplitude,Phase,Fx,Fy,Fz,ZFP Rate,SVD K,FFT Ratio,Mean Compress Time,Mean Decompress Time,Mean MSE,Original Size,Mean Compressed Size,Max Error,Max Error Original Value,Max Error Decompressed Value
ZFP,5,7,7,1,0.1,0,0.1,0.1,0.1,1,,,4.5e-06,2.14e-06,0.000237841927083505,1960,108,0.0548081657691349,0.0389418342308651,0.09375
ZFP,5,7,7,1,0.1,0,0.1,0.1,0.1,2,,,4.9e-06,7.08e-06,7.85847901866284e-05,1960,172,0.0303644288604203,0.0479425538604203,0.017578125
ZFP,5,7,7,1,0.1,0,0.1,0.1,0.1,3,,,5.6e-06,1.918e-05,3.0141112071409e-05,1960,236,0.0182291297307897,0.0841470984807897,0.06591796875
ZFP,5,7,7,1,0.1,0,0.1,0.1,0.1,4,,,5.38e-06,2.96e-06,6.89086058343792e-06,1960,300,0.00900639878009601,0.098544972998846,0.08953857421875
ZFP,5,7,7,1,0.1,0,0.1,0.1,0.1,5,,,5.7e-06,2.94e-06,2.16871144319917e-06,1960,364,0.00486351200379771,0.0717356090899523,0.07659912109375
ZFP,5,7,7,1,0.1,0,0.1,0.1,0.1,6,,,5.98e-06,3.02e-06,7.47290981622098e-07,1960,428,0.00281523630216237,0.0198669330795061,0.0170516967773438
ZFP,5,7,7,1,0.1,0,0.1,0.1,0.1,7,,,6.04e-06,3.1e-06,1.95466272978984e-07,1960,492,0.0017988397989704,0.0783326909627483,0.0801315307617188
ZFP,5,7,7,1,0.1,0,0.1,0.1,0.1,8,,,6.68e-06,4.06e-06,5.19469167387058e-08,1960,556,0.000795354100013936,0.0198669330795061,0.0190715789794922
ZFP,5,7,7,1,0.1,0,0.1,0.1,0.1,9,,,6.76e-06,3.68e-06,1.05971273285451e-08,1960,620,0.000305402791124162,0.0717356090899523,0.0714302062988281
ZFP,5,7,7,1,0.1,0,0.1,0.1,0.1,10,,,6.92e-06,3.88e-06,3.0873548187185e-09,1960,684,0.000201435318989931,0.0783326909627483,0.0785341262817383
ZFP,5,7,7,1,0.1,0,0.1,0.1,0.1,11,,,7.74e-06,4.44e-06,7.75367212912759e-10,1960,748,0.000124807893080628,0.0644217687237691,0.0642969608306885
ZFP,5,7,7,1,0.1,0,0.1,0.1,0.1,12,,,7.62e-06,4.4e-06,1.69079896647416e-10,1960,812,4.0429694402655e-05,0.098544972998846,0.0985045433044434
ZFP,5,7,7,1,0.1,0,0.1,0.1,0.1,13,,,8.04e-06,4.52e-06,5.73122666456275e-11,1960,876,3.59699811504494e-05,0.0783326909627483,0.0782967209815979
ZFP,5,7,7,1,0.1,0,0.1,0.1,0.1,14,,,8.32e-06,4.72e-06,9.24773962352361e-12,1960,940,1.3507572935223e-05,0.0963558185417193,0.0963693261146545
ZFP,5,7,7,1,0.1,0,0.1,0.1,0.1,15,,,8.5e-06,4.98e-06,2.6700780538961e-12,1960,1004,5.40562905711195e-06,0.0717356090899523,0.0717410147190094
ZFP,5,7,7,1,0.1,0,0.1,0.1,0.1,16,,,9e-06,5.2e-06,6.81300903621497e-13,1960,1068,2.76383571445882e-06,0.0963558185417193,0.0963585823774338
